frame,ball_id,center_x,center_y,center_x_norm,center_y_norm
1912,3,723.3030884,531.6883424,0.5650804,0.7384562400000001
1913,3,723.5427076,531.1916336,0.5652676,0.7377663600000001
1914,3,723.7823268,530.6949248000001,0.5654548,0.73707648
1915,3,724.021946,530.198216,0.565642,0.7363866
1916,3,724.2615652,529.7015072,0.5658292,0.7356967200000001
1917,3,724.5011844,529.2047984000001,0.5660164,0.73500684
1918,3,724.7408036,528.7080896,0.5662036,0.73431696
1919,3,724.9804228,528.2113808,0.5663908,0.7336270800000001
1920,3,725.220042,527.7146720000001,0.566578,0.7329372000000001
1921,3,725.4596612,527.2179632,0.5667652,0.73224732
1922,3,725.6992804,526.7212544,0.5669524,0.73155744
1923,3,725.9388996,526.2245456,0.5671396,0.7308675600000001
1924,3,726.1785188,525.7278368000001,0.5673268,0.73017768
1925,3,726.418138,525.231128,0.567514,0.7294878
1926,3,726.6577572,524.7344192,0.5677012,0.72879792
1927,3,726.8973764,524.2377104000001,0.5678884,0.7281080400000001
1928,3,727.1369956,523.7410016,0.5680756,0.72741816
1929,3,727.3766148000001,523.2442928,0.5682628,0.72672828
1930,3,727.6162340000001,522.7475840000001,0.56845,0.7260384000000001
1931,3,727.8558532000001,522.2508752,0.5686372,0.72534852
